,num_images,num_males,num_females,cooccuring,min_num_gender
surfboard,2127,1824,303,"[('dog', 37), ('bird', 26), ('umbrella', 13), ('bicycle', 12), ('clock', 8), ('bench', 7), ('truck', 4), ('sports ball', 3), ('book', 2), ('cup', 2), ('potted plant', 2), ('traffic light', 1), ('fire hydrant', 1), ('bowl', 1), ('vase', 1)]",303
tennis racket,2074,1244,830,"[('sports ball', 1109), ('bench', 101), ('clock', 38), ('potted plant', 22), ('umbrella', 9), ('truck', 6), ('cup', 5), ('bicycle', 5), ('dog', 4), ('bus', 2), ('vase', 1), ('book', 1), ('laptop', 1), ('tv', 1), ('cat', 1), ('teddy bear', 1)]",830
skateboard,1909,1868,41,"[('bench', 155), ('bicycle', 88), ('truck', 29), ('umbrella', 26), ('dog', 20), ('bus', 9), ('fire hydrant', 9), ('traffic light', 9), ('potted plant', 9), ('stop sign', 7), ('bird', 7), ('cup', 6), ('clock', 5), ('sports ball', 5), ('dining table', 4), ('suitcase', 3), ('refrigerator', 2), ('tv', 2), ('parking meter', 1), ('keyboard', 1), ('sandwich', 1), ('book', 1)]",41
tie,1159,1045,114,"[('cup', 54), ('book', 41), ('clock', 33), ('dining table', 31), ('cake', 28), ('tv', 27), ('wine glass', 27), ('knife', 25), ('umbrella', 23), ('bench', 21), ('suitcase', 17), ('potted plant', 16), ('laptop', 12), ('bicycle', 12), ('fork', 10), ('bus', 9), ('vase', 8), ('bowl', 8), ('refrigerator', 7), ('dog', 6), ('spoon', 6), ('truck', 6), ('sports ball', 6), ('remote', 5), ('sink', 5), ('cat', 4), ('baseball bat', 4), ('teddy bear', 4), ('traffic light', 4), ('bird', 3), ('keyboard', 3), ('sandwich', 3), ('oven', 3), ('apple', 2), ('fire hydrant', 1), ('stop sign', 1), ('mouse', 1), ('carrot', 1), ('orange', 1)]",114
skis,1081,811,270,"[('dog', 21), ('bench', 15), ('stop sign', 2), ('truck', 1), ('traffic light', 1), ('clock', 1), ('orange', 1), ('bus', 1), ('umbrella', 1), ('cat', 1), ('cup', 1), ('parking meter', 1)]",270
baseball glove,989,961,28,"[('baseball bat', 592), ('sports ball', 480), ('bench', 104), ('cup', 9), ('umbrella', 8), ('dog', 5), ('bicycle', 5), ('tv', 4), ('clock', 3), ('truck', 2), ('potted plant', 2), ('bird', 1), ('traffic light', 1), ('book', 1)]",28
cell phone,886,538,348,"[('cup', 69), ('laptop', 46), ('bench', 44), ('dining table', 43), ('tv', 37), ('keyboard', 30), ('book', 29), ('bicycle', 21), ('umbrella', 21), ('mouse', 20), ('potted plant', 19), ('bowl', 19), ('cake', 18), ('clock', 17), ('wine glass', 16), ('knife', 14), ('truck', 11), ('remote', 11), ('bus', 11), ('cat', 10), ('spoon', 10), ('fork', 8), ('sink', 8), ('dog', 8), ('refrigerator', 6), ('suitcase', 5), ('bird', 5), ('sandwich', 5), ('teddy bear', 4), ('oven', 4), ('microwave', 4), ('traffic light', 3), ('fire hydrant', 3), ('sports ball', 3), ('baseball bat', 2), ('apple', 1), ('parking meter', 1), ('vase', 1), ('stop sign', 1), ('carrot', 1)]",348
chair,862,463,399,"[('dining table', 370), ('cup', 217), ('cake', 154), ('laptop', 139), ('tv', 134), ('knife', 127), ('bowl', 124), ('book', 120), ('remote', 106), ('spoon', 100), ('fork', 100), ('potted plant', 77), ('wine glass', 73), ('umbrella', 63), ('mouse', 61), ('keyboard', 52), ('sandwich', 47), ('bench', 46), ('clock', 45), ('vase', 42), ('baseball bat', 39), ('refrigerator', 38), ('dog', 37), ('sports ball', 30), ('teddy bear', 29), ('oven', 27), ('cat', 26), ('suitcase', 26), ('sink', 20), ('microwave', 17), ('apple', 16), ('truck', 14), ('orange', 13), ('bicycle', 10), ('carrot', 9), ('bird', 9), ('bus', 7), ('fire hydrant', 2), ('traffic light', 2), ('stop sign', 1), ('parking meter', 1)]",399
frisbee,797,637,160,"[('dog', 80), ('bench', 47), ('umbrella', 16), ('sports ball', 9), ('truck', 8), ('bicycle', 7), ('clock', 5), ('bird', 5), ('dining table', 4), ('suitcase', 2), ('laptop', 2), ('cup', 2), ('fire hydrant', 2), ('potted plant', 2), ('bus', 1), ('traffic light', 1), ('parking meter', 1), ('sandwich', 1)]",160
snowboard,745,693,52,"[('bench', 6), ('truck', 3), ('fire hydrant', 1), ('remote', 1), ('dog', 1), ('traffic light', 1), ('book', 1), ('cup', 1), ('stop sign', 1), ('bus', 1), ('sports ball', 1)]",52
